dqo	&#x201E;    	<!-- Dutch low double open quote -->
dqc	&#x201D;    	<!-- Dutch high double close quote -->
hek	&#x001C1;       	<!-- two vertical bars (citation) -->
libra	&#xE066;  	<!-- libra (pond) sign (stylised l) -->
longs	&#x017F;  	<!-- long s (integral sign) -->
oudpond	&#xE066;	<!-- oud hollands pond sign (lb) -->
Oudpond	&#xE066;	<!-- alternative hollandse pond sign -->
rschrif	&#x00CB;	<!-- alternative r (written) -->
veol	&#x007C;   	<!-- vertical end of line (pipe) -->
aacugr	&#x1F71;    	<!-- small alpha, acute accent -->
eacugr	&#xE100;    	<!-- small epsilon, acute accent -->
eeacugr	&#x1F75;   	<!-- small eta, acute accent -->
iacugr	&#x1F77;    	<!-- small iota, acute accent -->
oacugr	&#x1F79;    	<!-- small omicron, acute accent -->
uacugr	&#x1F7B;    	<!-- small upsilon, acute accent -->
ohacugr	&#x1F7D;   	<!-- small omega, acute accent -->
agragr	&#x1F70;    	<!-- small alpha, grave accent -->
eegragr	&#x1F74;   	<!-- small eta, grave accent -->
igragr	&#x1F76;    	<!-- small iota, grave accent -->
ogragr	&#x1F78;    	<!-- small omicron, grave accent -->
ecirgr	&#x03AD;    	<!-- small epsilon, circumflex  (is eigenlijk een acuut?) -->
eecirgr	&#x1FC6;   	<!-- small eta, circumflex -->
alengr	&#x1F00;    	<!-- small alpha, lenis accent -->
elengr	&#x1F10;    	<!-- small epsilon, lenis accent -->
ilengr	&#x1F30;    	<!-- small iota, lenis accent -->
olengr	&#x1F40;    	<!-- small omicron, lenis accent -->
rlengr	&#x1FE4;    	<!-- small rho, lenis accent -->
ulengr	&#x1F50;    	<!-- small upsilon, lenis accent -->
ohlengr	&#x1F60;   	<!-- small omega, lenis accent -->
eeaspgr	&#x1F21;   	<!-- small eta, asper accent -->
iaspgr	&#x1F31;    	<!-- small iota, asper accent -->
oaspgr	&#x1F41;    	<!-- small omicron, asper accent -->
raspgr	&#x1FE5;    	<!-- small rho, asper accent -->
uaspgr	&#x1F50;    	<!-- small upsilon, asper accent -->
ohaspgr	&#x1F61;   	<!-- small omega, asper accent -->
atilgr	&#x1FB6;    	<!-- small alpha, tilde  -->
eetilgr	&#x1FC6;   	<!-- small eta, tilde  -->
itilgr	&#x1FD6;    	<!-- small iota, tilde  -->
utilgr	&#x1FE6;    	<!-- small upsilon, tilde  -->
ohtilgr	&#x1FF6;   	<!-- small omega, tilde  -->
aaspacugr	&#x1F05; 	<!-- small alpha, asper & acute -->
eeaspacugr	&#x1F25;	<!-- small eta, asper & acute -->
oaspacugr	&#x1F45; 	<!-- small omicron, asper & acute -->
ohaspacugr	&#x1F65;	<!-- small omega, asper & acute -->
alenacugr	&#x1F04; 	<!-- small alpha, lenis & acute -->
elenacugr	&#x1F14; 	<!-- small epsilon, lenis & acute -->
eelenacugr	&#x1F24;	<!-- small eta, lenis & acute -->
ilenacugr	&#x1F34; 	<!-- small iota, lenis & acute -->
olenacugr	&#x1F44; 	<!-- small omicron, lenis & acute -->
ohlenacugr	&#x1F54;	<!-- small omega, lenis & acute -->
alengragr	&#x1F02; 	<!-- small alpha, lenis & grave -->
sup1	&#x00B9;	<!-- superscript 1 -->
sup2	&#x00B2;	<!-- superscript 2 -->
sup3	&#x00B3;	<!-- superscript 3 -->
sup4	&#x2074;	<!-- superscript 4 -->
sup5	&#x2075;	<!-- superscript 5 -->
sup6	&#x2076;	<!-- superscript 6 -->
sup7	&#x2077;	<!-- superscript 7 -->
sup8	&#x2078;	<!-- superscript 8 -->
sup9	&#x2079;	<!-- superscript 9 -->
supa	&#x00AA;	<!-- superscript a -->
supo	&#x00BA;	<!-- superscript o -->
sub2	&#x2082;	<!-- subscript 2   -->
sub9	&#x2089;	<!-- subscript 9   -->
acaron	&#x01CE;    	<!-- small a with caron -->
ocaron	&#x01D2;    	<!-- small o with caron -->
capd	&#x00CB;      	<!-- small capital D in normal text (komt niet meer voor) -->
capi	&#x00CB;      	<!-- small capital I in normal text (niet meer) -->
capl	&#x00CB;      	<!-- small capital L in normal text (niet meer) -->
capx	&#x00CB;      	<!-- small capital X in normal text (niet meer) -->
ebreve	&#x0115;    	<!-- small e with breve -->
icaron	&#x01D0;    	<!-- small i with caron -->
nmacr	&#xE11D;     	<!-- small n with macron -->
nring	&#x00CB;     	<!-- small n with ring (niet meer) -->
obreve	&#x014F;    	<!-- small e with breve -->
ymacr	&#x0233;     	<!-- small y with macron -->
aecirc	&#xE006;    	<!-- ae ligature with circumflex -->
aeacute	&#x01FD;   	<!-- ae ligature with acute -->
aemacr	&#x0101;&#x0113;    	<!-- ae ligature with macron (simulatie: moet beter)-->
euemph	&#x00CB;          	<!-- eu emphised with a curve -->
oecirc	&#xE126;    	<!-- oe ligature with circumflex -->
ilentil	&#x00CB; 	<!-- small iota lenis with tilde -->
to	&#x002D;        	<!-- liggend streepje  -->
ord	&#176;       	<!-- fraction sign  (Huh?) -->
over	&#x002F;      	<!-- solidus in fractions  (verdwijnt) -->
hellip	&#8230;
ldquo	&#x201C;
rdquo	&#x201D;
ndash	&#8211;
bsol	&#x005C;
circ	&#x25CB;
deg	&#x00B0;          
frac12	&#x00BD;
frac14	&#x00BC;
laquo	&#x00AB;
middot	&#x00B7;
raquo	&#x00BB;
semi	&#x003B;
uoabove	&#xE72D;
