code	CGN tag	aantal (beetje onbegrijpelijk, staat voor aantal verschillende woord+lemma+pos combinaties)	voorbeeldwoordjes	weergave van uitleg in handleiding	opmerking
207	WW(vd,e-intrans,prenom|nom,met-e,zonder-n)	133	gebeurde  gewijzigde  geavanceerde  verdorde  verminderde	ww intrans vd, verbogen	Niet-attributief gebruik is zeldzaam
208	WW(vd,e-intrans,nom,met-e,mv-n)	9	vergrijsden  geemigreerden  verongelukten  gevorderden  uitgetredenen	ww intrans vd, meervoud	
209	WW(vd,e-intrans,adv,vrij)	60	veronachtzaamd  Geschrokken  beschouwd  verantwoord  onderuitgezakt	ww intrans vd, bijwoordelijk	
210	WW(inf,e-trans,vrij)	2297	wensen  bespotten  beschuldigen  horen  benemen	ww trans infinitief,verbaal	
211	WW(inf,e-trans,nom)	502	stelen  vrijwaren  delen  creëren  opheffen	ww trans infinitief, nominaal	
212	WW(od,e-trans,zonder)	14	bezittend  samendvattend  trekkend  houdend  overspannend	ww trans od, onverbogen	
213	WW(od,e-trans,met-e,zonder-n)	49	serverende  roepende  opleverende  inhoudende  verbrassende	ww trans od, verbogen	
214	WW(od,e-trans,met-e,mv-n) ??? [vb kloppen niet]	2	maken  menen	ww trans od, meervoud	
215	WW(od,e-trans,adv,vrij)	50	puttend  ontnemend  verzwelgend  betreffende  taxerend	ww trans od, bijwoordelijk	
216	WW(vd,e-trans,prenom|vrij,zonder)	3061	bedekt  overreden  gekozen  neergeschreven  gekaapt	ww trans vd, onverbogen	
217	WW(vd,e-trans,prenom|nom,met-e,zonder-n)	826	opgedane  beknelde  geforceerde  geharde  verminderde	ww trans vd, verbogen	
218	WW(vd,e-trans,met-e,mv-n)	63	gestoorden  geraakten  verzekerden  veroordeelden  afgevaardigden	ww trans vd, meervoud	
219	WW(vd,e-trans,adv,vrij)	135	geanimeerd  overdonderd  gekruist  beperkt  Lamgeslagen	ww trans vd, bijwoordelijk	
220	WW(inf,e-refl,vrij)	232	bemoeien  handhaven  werken  verbinden  voorbereiden	ww refl infinitief,verbaal	
221	WW(inf,e-refl,nom)	9	openstellen  overgeven  verenigen  voordoen  houden	ww refl infinitief, nominaal	
222	WW(od,e-refl,zonder)	3	ontstekend  bevindend  wijzigend	ww refl od, onverbogen	
223	WW(od,e-refl,met-e,zonder-n)	13	respecterende  wijzigende  ontwikkelende  misdragende  verkeerende	ww refl od, verbogen	
224	WW(od,e-refl,met-e,mv-n)	1	voelen	ww refl od, meervoud	
225	WW(od,e-refl,adv,vrij)	7	omkerend  aansluitend  baserend  verbazend  aansluitende	ww refl od, bijwoordelijk	
226	WW(vd,e-refl,zonder)	157	opgewerkt  beschouwd  gesneden  verbonden  opgehouden	ww refl vd, onverbogen	
230	WW(inf,e-hulp-of-koppel,vrij)	108	raken  lezen  staan  proberen  moeten	ww hulp of koppelwerkwoord infinitief,verbaal	
231	WW(inf,e-hulp-of-koppel,nom)	12	worden  blijven  zijn  houden	ww hulp of koppelwerkwoord infinitief, nominaal	
232	WW(od,e-hulp-of-koppel,prenom|vrij,zonder)	3	wordend  lijkend	ww hulp of koppelwerkwoord od, onverbogen	
233	WW(od,e-hulp-of-koppel,met-e,zonder-n)	9	wordende  zijnde  luidende	ww hulp of koppelwerkwoord od, verbogen	
