287	13	verrek  kijk  hoor  kom
300	84	zij  wij  We  Ze  Iek
302	5	onzer  haars  het  hunner
303	65	hem  haar  hen  jou  't
321	2	zijnen
323	6	onze  mijne  zijne  hunne
330	54	der  Jullie  ZIJN  Z'n  z'n
332	13	Uwer  huns  zijns  mijns
333	22	onze  mijne  uwe  zijnen
337	1	is
340	75	u  mekander  elkaaar  van  me
342	5	zichzelfs  elkaar  elkanders  elkaars
343	2	eigene  zichzelve
350	29	Diezelfde  elk  Eigen  eenzelfde  dezelfde
352	1	eigener
353	3	zelve  terzelfder
360	37	dergelijk  zodanig  ie  De  datgene
361	9	dezulken  diegenen  degenen  dezen
362	12	des  dezes  diens  Diens
363	12	degene  diegene  dergelijke  dezen  datgene
370	59	zulk  min  dergelijk  Ik  het
372	13	der  's  Dezer  dezer
373	20	der  dien  zodanige  dezer
380	1	hij
400	33	Wat  wat  wie
402	4	wier  wiens
403	5	welke  Welke
410	11	Welk  welk  Wat  wat
413	5	welke  Welke
420	35	Wie  dat  WIE  Hetgeen  wie
422	5	welks  wiens  wier  welker
423	3	welke  dien
430	3	welk  tweede
433	3	welke  Welke
440	108	Iedereen  gemaakt  teveel  genoeg  alles
441	33	allen  tevelen  sommigen  Anderen  beiden
442	10	anderer  beider  andermans
443	29	sommige  vele  enen  enige
444	10	Meer  min  MIN  meer  minder
446	5	meerdere  meerderen  minderen  mindere
447	9	Allerminst  meest  minst  allerminst
449	7	meeste  meest  meesten  minste
450	147	een  al  EEN  ietwat  zoveelste
451	1	velen
452	7	talloze  anders  ener  aller
453	74	andere  diverse  enkele  hoevele
454	9	Meer  min  meer  Minder  minder
456	7	meerdere  meerder  mindere
457	6	Meest  meest  minst  allerminst
459	4	meeste  minste  zoveelste
460	852	1646  N@  1855  2000  16.57,3
461	10	honderdduizenden  tienduizenden  honderden  miljoenen
463	21	vijven  zessen  zeuvenen  achten  drieen
470	1214	45  30,-  2310  14.850,-  vier
471	15	mijoenen  Duizenden  duizenden  Tienduizenden  honderden
472	1	duizenden
473	7	achtenhalve  drieen'nhalve  Anderhalve  vele  tweeen
480	39	3e  vierenzeventigste  tiende  d.  17e
481	5	zesden  eersten  derden  miljoenen
483	5	eersten  eerste  Eerste  tweede
490	102	12  negentiende  19e  6e  12e
491	1	eersten
493	10	tweeden  eerste  1e  Eerste
500	1945	tenminste  overend  nog  eerst  plm.
503	7	enenmale  dikke  hele
504	11	dichter  dichterbij  vaker
507	2	dichtst  vaakst
509	1	zeerste
510	247	soms  bovendien  zowiezo  ditmaal  zo
513	1	zo'n
516	1	er
519	1	Hier
520	46	hoe  waarom  wanneer  waarzo
523	1	hoeverre
530	27	dat  waar  Waarom
540	239	ertoe  hierboven  hieromtrent  Hierop  Daaroverheen
550	37	waarover  waarna  Waaraan  waar  Waarmee
560	59	waarmee  Hiertoe  waarbij  Waarmede  waarlangs
566	1	waarbij
580	17	vooruit  nu  niet  Toe  wel
587	1	hoor
590	2	terecht  terwille
600	432	Naast  over  Per  uit
603	9	ter  Ten  ten
610	29	aan  voor  van  op  uit
620	16	voor  voort  af  over  uit
630	146	door  in  af  toe  uit
640	32	in  af  terug  heen  op
650	24	voor  Te  Door  teneinde  Alvorens
660	10	zonder  voor  van  vijfenzestig  tegen
700	98	als  hetzij  Voor
710	139	omdat  Naar  Mits  naar  totdat
720	59	als  dan  behalve  zoo
730	9	als  terwijl  Als  Al  of
740	49	zowel  en  hetzij
800	291	ho  Sorry  hm  Tjonge  o
810	6	Pfff  peng  ak-ak-ak  zzz  zo
990	846	for  door  een  verstehen  to
991	3	n  eh  t
992	31	e  /@@  @  q@r  @@@
993	20	x  %  =  Ae  moeyden
998	75	's  ambroen  blijkop  h  hk
