dienende.	dienen
dier[..]sse	UNRESOLVED
die[...]winie	UNRESOLVED
dit.	dit
ditto.	dito
Dochter.	dochter
doct.	dokter
doe.	doen
doe[..]gen	UNRESOLVED
doen.	doen
doen.	weldoen
Doeve.	Doeve
dood.	dood
doode.	dode
doodelijk.	dodelijk
doodt.	dood
doon.	doen
door.	hierdoor
doot.	dood
Doot.	dood
driege.	dreigen
Duclasel.	Duclasel
duister.	duister
duur.	duur
duyster.	duister
dwarsstraat.	Lange Leidsedwarsstraat
een.)	een
eerlicke.	eerlijk
Eerw.	eerwaarde
Eerw.	u_weleerwaarde
Eeuwig.	eeuwigheid
eeuwigheid.	eeuwigheid
Eeuwigheijt.	eeuwigheid
Egtgenoot.	echtgenoot
eijgen.	eigen
eijghen.	eigen
eijsen.	ijzen
Eilanden.	Canarische Eilanden
Elmersz.	Elmersen
Elmerts.	Elmersen
Elzie.	Elsje
ende.	en
en.	en
Engelant.	Engeland
Engelen.	engel
entameeren.	entameren
erken.	erkennen
erlangen.	erlangen
Estimeere.	estimeren
Eustasius.	Sint Eustatius
Eustasuis.	Sint Eustatius
Euwige.	eeuwig
Exceptie.	exceptie
exkuseeren.	excuseren
faaren.	varen
fleesch.	vlees
flo.	fl.
Focksz.	Focksz
franckrijk.	Frankrijk
Fransche.	Franse
fransinnite.	Fransientje
gaan.	gaan
gaan.	meegaan
gaan.	tegengaan
gaat.	gaan
gaen.	gaan
gaen.	welgaan
gaff.	geven
gals.	De Gals
Garnaades.	Granada
gaten.	gat
G.Blauw	G._Blauw
gearriveerd.	arriveren
gearriveerdt.	arriveren
gearriveert.	arriveren
Gearriveert.	arriveren
geavanceert.	avanceren
Gebesoigneerd.	besoigneren
gebeuren.	gebeuren
gebeurt.	gebeuren
gebleeven.	blijven
gebleven.	blijven
gebracht.	brengen
gebroken.	breken
gebueren.	gebuur
ge[...]cht	UNRESOLVED
geconfisqueert.	confisqueren
gecoomen.	komen
gedaan.	doen
gedaen.	doen
gedagten.	gedachte
gedeclint.	declineren
gedenken.	gedenken
gediendt.	dienen
gedienstige.	gedienstig
gedienstig.	gedienstig
gedraage.	gedragen
gedraagen.	gedragen
gedronken.	drinken
geduld.	geduld
geduurt.	duren
geeffectueerd.	effectueren
geeft.	geven
geeft.	uitgeven
geene.	hetgeen
geensins.	geenszins
geestelijck.	geestelijk
geeven.	geven
gegaan.	gaan
gegaen.	gaan
gegeeven.	meegeven
gegeven.	geven
gegeven.	wederomgeven
gegooyt.	gooien
gegroet.	groeten
gehad.	hebben
gehad.	plaatshebben 
gehadt.	hebben
gehouden.	afhouden
gehouden.	houden
gejammerd.	jammeren
gekogt.	kopen
gekomen.	bijkomen
gekomen.	binnenkomen
gekomen.	komen
gekoomen.	komen
gekreegen.	krijgen
gelaaten.	laten
geld.	geld
Geld.	geld
geleegen.	gelegen
geleezen.	lezen
gelegen.	liggen
Geleide.	geleiden
geleijde.	geleiden
geleijdt.	geleiden
gelevert.	leveren
geleyde.	geleiden
gelijde.	geleiden
geloovend.	hardgelovend
gelooven.	geloven
geloven.	geloven
gelt.	geld
gemaakt.	maken
gem.de	gemeld
genade.	genade
genadig.	genadig
genaemt.	genaamd
genagt.	genacht
genegentheid.	genegenheid
genieten.	genieten
geniet.	genieten
genoomen.	wegnemen
genoteerd.	noteren
geoffereert.	offreren
geordineert.	ordineren
gepasseerd.	passeren
geplukt.	plukken
geplundert.	uitplunderen
geracken.	voortgeraken
geraken.	geraken
geraken.	voortgeraken
gereesen.	rijzen
gerekent.	rekenen
gerendt.	renderen
gerestitueerd.	restitueren
geresumt.	resumeren
geretourneert.	retourneren
gereyst.	reizen
gesalutiert.	saluteren
geschieden.	geschieden
geschied.	geschieden
geschiedt.	geschieden
geschien.	geschieden
geschreeven.	schrijven
geschreuen.	schrijven
gescreven.	schrijven
geslagen.	slaan
gesleep.	inslepen
geslooten.	sluiten
gesonden.	toezenden
Gesonthyt.	gezondheid
gesorgd.	zorgen
Gesoundheijt.	gezondheid
Gespaar.	sparen
gespeelt.	spelen
gespoelt.	wegspoelen
gespoogen.	spugen
gesprongen.	springen
gestelt.	gesteld
gestoord.	gestoord
gestooten.	stoten
gestopt.	stoppen
gestorven.	sterven
gesundtheit.	gezondheid
getuijght.	getuigen
getuygen.	getuige
geuallen.	voorvallen
gevaar.	gevaar
gevallen.	vallen
geven.	geven
Gevers.	Gevers
gevlu[..]cht	vluchten
gevoelens.	gevoelen
gevonden.	vinden
gevraagt.	vragen
geweest.	zijn
Geweest.	zijn
geworden.	geworden
geworden.	worden
geworpen.	werpen
gezegt.	zeggen
gezicht.	gezicht
gezonden.	zenden
gezondheid.	gezondheid
gezondheijd.	gezondheid
gezongen.	zingen
gezont.	gezond
ghecomen.	komen
ghelucken.	gelukken
ginge.	gaan
goddelij[..]ken	goddelijk
godt.	God
Godt.	God
goed[..]e	goed
goed.	goed
Goed.	goed
goet.	goed
gorron.	UNRESOLVED
Gossling.	Gossling
gratie.	gratie
groeten.	groeten
groetenijse.	groetenis
groodt.	groot
Groot.	De Groot
groot.	groot
Guinea.	Guinee
gulden.	gulden
haast.	haast
hadde.	hebben
Haerlem.	Haarlem
haest.	haast
Haexwant.	Haexwant
Hage.	Den Haag
Haghswant.	Haghswant
Hamburgh.	Hamburg
Hamen.	Hamen
handigen.	overhandigen
hangt.	hangen
Hans.	Hans
hartelijk.	hartelijk
harten.	hart
hart.	hart
hart.	van_Het Vergulde Hart
hebbe.	hebben
hebbende.	hebben
hebben.	hebben
heb.	hebben
hebt.	hebben
heeft.	hebben
heeft.	voorhebben
heevenwell.	evenwel
Heide.	Heide
Heiden.	heiden
Heijden.	Heijden
heijl.	heil
helpen.	helpen
hem.	hij
Hendk.	Hendrik
Hend.r	Hendrik
Hendrick.	Hendrik
herhaald.	herhalen
herstelt.	herstellen
herten.	hart
hertgrond.	hartgrondig
hert.	hart
het.	het
Heusch.	Heusch sr.
Heyligdom.	heiligdom
hier.	hier
hier.	vanhier
hinderen.	verhinderen
h[..]loick	kloek
hobs.	Hobs
Hogagting.	hoogachting
Hol.g.gulds	Hollands_gulden
holland.	Holland
hollandt.	Holland
#holl.	Hollands
#Holls.	Hollands
#hollt.	Holland
