id	title	bestandsnaam	fictionality	genre	genre	subgenre	subgenre	subgenre	subgenre	author	opmerking
INT_e6765d2a-e35c-49bb-a7b4-cbbaf78b0617	Brieven	brieven	non-fiction	Prose	religious	 	Theology / ethics	 	 	Hadewijch	 
INT_e223e0c0-a2cb-47f9-9692-7625da53cad4	Buskenblazer	buskenblazer	fiction	verse	secular	drama	 	 	 	unknown	 
INT_247f363e-e314-483f-9146-c0c8b6d11982	Cancellierboeck	cancellierboeck	non-fiction	Prose	religious	 	Theology / ethics	 	 	unknown	 
INT_4bcda3fc-ba11-4c1b-8050-8f36c0a3ac1b	Chanson d'Aspremont	chanson_d_aspremont	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_66899df0-15a4-40e3-9875-993c850b99a0	Chiromantie (proza)	chiromantie	non-fiction	Prose	secular	artes	Science	chiromancy	 	unknown	 
INT_ce69c331-1b00-487c-a4c0-72f0dd91e0d9	Circa instans	circa_instans	non-fiction	Prose	secular	artes	medicine	 	 	Platearius	 
INT_98a709b3-9f41-4024-bc58-4aae4cacb217	Clausule vander bible	clausule_vander_bible	non-fiction	Verse	religious	stanzaic	Theology / ethics	 	 	Jacob van Maerlant	 
INT_e2737bb8-df24-4d13-bf11-f4159482963d	Collectief lunarium (proza)	collectief_lunarium	non-fiction	Prose	secular	artes	Science	Astronomy / astrology	 	unknown	 
INT_08a478f9-e307-4449-8578-fcd8a1198a42	Collectief lunarium I (berijmd)	collectief_lunarium_i	non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
INT_3ddc9029-9376-4eef-ba01-c43e01d30530	Cracht der mane I	collectief_lunarium_ii	non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
INT_fb163107-2deb-4f16-9631-c829928c6321	Collectief lunarium III (berijmd)	collectief_lunarium_iii	non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
INT_fddf7c51-8d43-4e88-8d3b-4c55dffaef05	Cyromanchie van den pape van den Hamme	cyromanchie_van_den_pape_van_den_hamme_chiromantie	non-fiction	Verse	secular	artes	science	chiromancy	 	unknown	 
INT_79c9f5f8-4de6-4e57-a160-5ff8f7bd303f	Cyrurgie	cyrurgie_hs_br	non-fiction	Prose	secular	artes	medicine	 	 	Jan Yperman	 
INT_54a6990b-2a6f-44af-a22f-272a60d5bec2	Boec vander wraken	dat_boec_vander_wraken	non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jan van Boendale	 
INT_04c9a820-c616-4ca4-913f-56aadaa7414d	De imitatione Christi	de_imitatione_christi	non-fiction	Prose	religious	 	Theology / ethics	 	 	Thomas a Kempis	 
INT_fbd8e8a8-87f5-4fce-bde1-645a9ec5fc25	Verclaringhe vanden duytschen boeken (excerpten), hs Brussel	de_libris_teutonicalibus_hs_b	non-fiction	Prose	secular	 	Theology / ethics	 	 	Gerard Zerbolt van Zutphen	 
INT_4f309913-887f-430a-9078-821c0d7bee1b	Verclaringhe vanden duytschen boeken, hs Kassel	de_libris_teutonicalibus_hs_k	non-fiction	Prose	secular	 	Theology / ethics	 	 	Gerard Zerbolt van Zutphen	 
INT_df47f444-eace-46a1-be24-f8f6ef8a179c	Verclaringhe vanden duytschen boeken (excerpten), hs Leiden	de_libris_teutonicalibus_hs_l	non-fiction	Prose	secular	 	Theology / ethics	 	 	Gerard Zerbolt van Zutphen	 
INT_e458f12b-447d-4024-a769-457ae812fa0c	Spieghel der menscheliker behoudenesse	de_spieghel_der_menscheliker_behoudenesse	non-fiction	Verse	religious	 	 	 	 	unknown	 
INT_89e11df2-eedf-4c5a-b7af-1ea53c6cffec	Delftse bijbel van 1477, Bijbel van 1477, Oude Testament	delftse_bijbel	non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
INT_e511316f-7fb4-4ed8-94b1-d9409243ab7e	Droefliken strijt van Roncevale	den_droefliken_strijt_van_roncevale	fiction	Prose+verse	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_f6360c2f-9065-443f-9e54-47e6eaf589f1	Der kerken claghe	der_kerken_claghe	non-fiction	Verse	secular	stanzaic	 	 	 	Jacob van Maerlant	 
INT_590673c6-9807-4cae-945b-c64fbd445597	Der leken spieghel	der_leken_spieghel	non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jan van Boendale	 
INT_1771397e-6c5f-4340-b69b-27fde321e265	Der mannen ende vrouwen heimelijcheit	der_mannen_ende_vrouwen_heimelijcheit	non-fiction	Verse	secular	artes	medicine	 	 	unknown	 
INT_d5a7d90d-5451-4dea-bc82-603bed23d7a3	Der minnen loep	der_minnen_loep	non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Dirc Potter	 
INT_ef0d64b3-cb2f-4af6-9ae3-c20b6ba0f96b	Der vrouwen heimelijcheit	der_vrouwen_heimelijcheit	non-fiction	Verse	secular	artes	medicine	 	 	unknown	 
INT_aac7808e-ccff-42df-9fa2-d3e8fed1f7a3	Der ystorien bloeme	der_ystorien_bloeme	non-fiction	Verse	religious	 	legend	 	 	unknown	 
INT_3e81f5b2-f5fe-4e9b-8937-96233437597c	Derde Martijn	derde_martijn	non-fiction	Verse	secular	stanzaic	Theology / ethics	 	 	Jacob van Maerlant	 
INT_44d81728-fe8f-45aa-a7f1-888e7adfd8e0	Des coninx summe	des_coninx_summe	non-fiction	prose	secular	 	Philosophy / ethics	 	 	Jan van Brederode	 
INT_f853d609-fb5b-45ef-9601-ef8a27ede1c1	Devoot ende profitelyck boecxken	devoot_ende_profitelyck_boecxken_h	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
INT_14f02a02-7bcd-43ea-a7ab-64898a232ecd	Dietsche Lucidarius	die_dietsche_lucidarius	non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
INT_615cc75c-450e-4626-8467-2caa43c70a47	Gheestelike brulocht	die_gheestelike_brulocht	non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
INT_a0c42759-1c3b-4b22-b101-08f3d664ed3e	Dietsche doctrinale	dietsche_doctrinale	non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
INT_b749ce3c-9a8f-44c9-9dd3-a41d8faa5f13	Wapene Rogier	dispitacie	non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	Jan de Weert	 
INT_23e28b8f-be33-4dd7-91d2-720048702342	Disputacie van onser Vrouwen ende van den Heilighen Cruce	disputacie_van_onser_vrouwen	non-fiction	Verse	religious	stanzaic	Theology / ethics	 	 	Jacob van Maerlant	 
INT_6e47aebb-5293-43e9-a2d6-f50eb7126b73	Drie daghe here	drie_daghe_here	fiction	Verse	secular	drama	 	 	 	unknown	 
INT_4fbd0cbe-3213-4bd4-a132-f07896106102	Dystorie van Saladine	dystorie_van_saladine_h	fiction	Verse	secular	epic	Chivalric romance	chapbook	 	unknown	 
INT_71bec354-6673-4375-b3fe-346d948e4c1f	Eerste Martijn	eerste_martijn	non-fiction	Verse	secular	stanzaic	Philosophy / ethics	 	 	Jacob van Maerlant	 
INT_3c460b0a-7e20-48c5-a364-356aedb3718e	Esmoreit	esmoreit	fiction	Verse	secular	drama	Chivalric romance	 	 	unknown	 
INT_c964e877-0c4d-4d70-a366-752219efa8de	Esopet	esopet	fiction	Verse	secular	 	 	 	 	Calfstaf + Noydekin (?)	 
INT_080a0318-39d9-405c-ba9d-1196787d7b1a	Euangelien vanden spinrocke	euangelien_vanden_spinrocke	non-fiction	Prose	secular	chapbook	artes	artifices	 	unknown	 
INT_9d87657d-f89f-48c6-83ea-832682798a88	Exempel van een soudaensdochter	exempel_van_een_soudaensdochter	fiction	Prose	religious	chapbook	legend	 	 	unknown	 
INT_30456d8d-af82-4728-a4f3-0c95efd40f56	Exordium magnum	exordium_magnum	fiction	Prose	religious	 	legend	 	 	unknown	Auteur vervangen
INT_bd73fecb-863f-4e6d-995c-0fade0e99bf3	Ferguut	ferguut	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_44e4a3b9-0c7c-44f6-a3d5-2a3abe3d67b9	Fierabras	fierabras	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_4f795dc1-5054-4681-8f7b-34942b30ff8c	Flandrijs	flandrijs_fragm_s	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_fa092193-34c2-4f49-8a08-f8f23e494c13	Flovent	floovent	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_67bce578-e0b2-4645-8613-de267f7b08b9	Florent ende Durant	florent_ende_durant	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_559313e8-20d4-41bc-9cfc-c9b2e1916e3a	Florigout, fragment Den Bosch	florigout_fragm_db	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_8d193995-5058-4fa2-846e-c6e20a8d66ae	Florigout, fragment Leeuwarden	florigout_fragm_l	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_04871db8-b4d6-465c-a74d-57665dfc0d4a	Floris ende Blancefloer	floris_ende_blancefloer	fiction	Verse	secular	epic	Chivalric romance	 	 	Diederic van Assenede	 
INT_348af1b1-09ca-4e4c-aa11-483771193521	Frenesie	frenesie	fiction	Verse	secular	 	 	 	 	unknown	 
INT_26675bc7-82e1-4dd9-a7a1-01f492377dbe	Fysionomie (proza)	fysionomie_proza	non-fiction	Prose	secular	artes	science	physionomy	 	unknown	 
INT_206dc3f7-940f-4e4c-8b68-af341846268f	Fysionomie (berijmd)	fysionomie_rijm	non-fiction	Verse	secular	artes	science	physionomy	 	unknown	 
INT_fd5ab20e-b4c7-47b6-9b75-5e9f26eb338c	Gebedenboek uit de kring van de Moderne Devotie	gebedenboek	non-fiction	Prose	religious	 	prayer	 	 	unknown	 
INT_8dd114c6-445f-4e5f-a487-be51dde7c05c	Gedicht over de hemeltekenen	gedicht_over_de_hemeltekenen	non-fiction	Verse	secular	artes	science	Astronomy / astrology	 	unknown	 
INT_60a08b65-4eb3-4d07-a0a0-bd2e053a1568	Gedichten (Willem van Hildegaersberch)	gedichten_hildegaersberch__hs_g	fiction	Verse	secular	 	 	 	 	Willem van Hildegaersberch	 
INT_f9513238-3286-4aec-9eac-c67cef448dc3	Geraert van Viane	geraert_van_viane	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_bd4df184-4012-4a22-bc55-dd59e0846958	Getijdenboek van Geert Grote	getijdenboek_van_geert_grote	non-fiction	Prose	religious	 	prayer	 	 	Geert Grote	 
INT_f2340200-ec1b-4f6f-a29d-c46eed3becf2	Vanden gheesteliken tabernakel	gheesteliken_tabernakel	non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
INT_42c5d36e-7776-4606-b069-ac1481af179a	Gloriant	gloriant	fiction	Verse	secular	drama	 	 	 	unknown	 
INT_db3bb91e-a338-45c4-a67d-ed3d9b52d8fa	Sinte Jans ewangelium alsoe 't Augustijnken gheexponeert heeft	glose_op_het_sint-jansevangelie	non-fiction	Verse	religious	 	Theology / ethics	 	 	Augustijnken	 
INT_71784f37-40de-46b6-8ff9-8d2a82368eb0	Godevaert metten baerde	godevaert_metten_baerde	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_2e9d18df-598a-4de7-b763-2b8b79bcc7d9	Godevaerts kintshede	godevaerts_kintshede	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_85dce7ed-b5c2-4542-87ed-4f81ef9b3bd5	Grimbergse oorlog	grimbergse_oorlog	non-fiction	Verse	secular	 	history	 	 	unknown	 
INT_c2162d6e-d22d-4734-bcff-a0e6a794e5bc	Gruuthuse-handschrift (gebeden en allegorische gedichten)	gruuthuse-handschrift_gebeden	non-fiction	Verse	religious	 	prayer	 	 	not applicable	 
INT_9fc3e35e-6623-40ea-a25f-8e4ce970f02a	Gruuthuse-handschrift (allegorische gedichten)	gruuthuse-handschrift_gedichten	fiction	Verse	secular	 	 	 	 	not applicable	 
INT_4b8f5afd-65bb-4c50-b090-a45b28b5a713	Gruuthuse-handschrift (liederen)	gruuthuse-handschrift_liederen	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
INT_56ba2ee1-24d8-4a24-ab59-73da74c87dc4	Gwidekijn van Sassen	gwidekijn_van_sassen	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_36da0c4c-c9d0-40c4-9be8-11c8a3a5b67b	Haagse liederenhandschrift	haagse_liederenhs	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
INT_30bb450a-3d52-4303-8699-263290afbecd	Hattem-01. 43 Kwade dagen / Esdras-prognose	hattem_01._43_kwade_dagen_slash_esdras-prognose	non-fiction	Prose	secular	artes	science	 	 	unknown	Titel aanpassen
INT_64777abb-cc18-47f8-99d4-c68c66bd8c45	Hattem-02. Prozavertaling 'Secreta Secretorum'	hattem_02._prozavertaling_secreta_secretorum_	non-fiction	Prose	secular	 	Philosophy / ethics	 	 	unknown	Titel aanpassen
INT_287c0d39-80d6-4462-9d27-6f927bde8c2c	Hattem-03. Diverse teksten, vnl. Latijn	hattem_03._diverse_teksten_vnl._latijn	non-fiction	Prose	secular	artes	science	physionomy	medicine	unknown	Titel aanpassen
INT_017b84b9-3fcd-431f-a67c-e284e60e60ab	Hattem-05. Wijnrecepten / Medisch handboek	hattem_05._wijnrecepten_slash_medisch_handboek	non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_f255933d-7d26-4a4e-a0eb-04f9c2cc98bd	Hattem-06. Alchemistische en technische recepten	hattem_06._alchemistische_en_technische_recepten	non-fiction	prose	secular	artes	alchemy	technic	 	unknown	Titel aanpassen
INT_2ae52ea9-f743-4f3a-8273-21ae218a0114	Hattem-07. Traktaat over edele metalen	hattem_07._traktaat_over_edele_metalen	non-fiction	prose	secular	artes	metallurgy	 	 	unknown	Titel aanpassen
INT_0e0f2055-2b06-41c6-8377-171ec29540da	Hattem-08. Kunstboek	hattem_08._kunstboek	non-fiction	prose	secular	artes	artifices	 	 	unknown	Titel aanpassen
INT_9f5efae4-8946-4d65-8925-042490bdca8f	Hattem-09. Flebotomie, laatste bladzijde Latijn	hattem_09._flebotomie_laatste_bladzijde_latijn	non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_5d4ce969-8987-403f-b6f6-870e2c234028	Hattem-10. Pesttraktaat / Zalfrecepten / Chirurgie	hattem_10._pesttraktaat_slash_zalfrecepten_slash_chirurgie	non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_2736af1b-9bde-45cd-a84e-dfd71fdf6093	Hattem-11. Chirurgische recepten / Ogentraktaat	hattem_11._chirurgische_recepten_slash_ogentraktaat	non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_59273dbb-271e-4138-b28e-80da603d27c3	Hattem-12. Alfabetische 'Herbarius'	hattem_12._alfabetische_herbarius_	non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_e043d2ea-602a-4d95-ac4b-76d3c0995329	Hattem-13. Traktaat over huidziekten	hattem_13._traktaat_over_huidziekten	non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_92f971ba-95f7-4c57-bae3-61ec1619d73b	Hattem-14. Medisch handboek Avicenna Cap. 16	hattem_14._medisch_handboek_avicenna_cap._16	non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_167bfd5b-69e2-4e25-9532-527e171d0f1e	Hattem-15. Medicinale wateren / Brandewijn	hattem_15._medicinale_wateren_slash_brandewijn	non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_7125d1bf-3902-489d-a0c2-4dc95f618581	Hattem-16. Medisch handboek	hattem_16._medisch_handboek	non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_41fdafa7-11a4-456b-817b-be6270d7b611	Hattem-17. Diverse korte teksten, doorlopend	hattem_17._diverse_korte_teksten_doorlopend	non-fiction	Prose	secular	artes	medicine	artifices	 	unknown	Titel aanpassen
INT_3f0dc16c-d7f5-47a6-886f-486d0864a45e	Hattem-19. Constantinus Africanus 'Viatice'	hattem_19._constantinus_africanus_viatice_	non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_c014e1a5-7703-4e19-ab3f-f40e5183c6d3	Hattem-20. Diverse korte teksten, doorlopend	hattem_20._diverse_korte_teksten_doorlopend	non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_a054936e-d116-4975-9204-bdf4d8f78b21	Hattem-21. Grote collectie medische recepten	hattem_21._grote_collectie_medische_recepten	non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_4e0abbc9-1ad4-4461-a782-2bd27949cb70	Hattem-22. Naschrift / Brandewijnrecept	hattem_22._naschrift_slash_brandewijnrecept	non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
INT_6a9e886c-7517-4d69-8ef6-f6352b89a165	Herbarijs	herbarijs	non-fiction	Prose	secular	artes	medicine	 	 	unknown	 
INT_55c86725-5b7d-480d-a0a1-d4749d0ad731	Hexe	hexe	fiction	Verse	secular	drama	 	 	 	unknown	 
INT_540f748a-6262-4424-a8f3-55c261e897c9	Heymelijchede der heymelijcheit	heymelijchede_der_heymelijcheit	non-fiction	Verse	secular	 	Philosophy / ethics	 	 	Jacob van Maerlant	 
INT_659b8621-093d-4bdb-919f-5b8c9fd56ae6	Historie van de borchgravinne van Vergi	historie_van_de_borchgravinne_van_vergi	fiction	Prose+verse	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_cdc288b9-9eca-4d98-819f-2f0089b0673a	Historie vanden vier heemskinderen	historie_van_de_vier_heemskinderen	fiction	Prose	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_33aca54e-d41a-4b40-ae00-c7f9e465f208	Historie van den grale	historie_van_den_grale	fiction	Verse	secular	epic	Chivalric romance	 	 	Jacob van Maerlant	 
INT_6580d8a2-bf5a-4108-9df1-718cb4f04220	Historie van die seuen wijse mannen van roemen	historie_van_die_seuen_wijse_mannen_van_roemen_go	fiction	Prose	secular	chapbook	 	 	 	unknown	 
INT_24a853a6-0452-4839-9605-4c8240c79bbb	Historie van Floris ende Blancefloer	historie_van_floris_ende_blancefloer	fiction	Prose	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_24c8ddf4-c705-4947-8010-b23a74bb6560	Historie van Gaver Capeel	historie_van_gaver_capeel	fiction	Verse	secular	 	Chivalric romance	chapbook	 	unknown	 
INT_5c2464ac-12ef-4aa1-8977-c662d36e68e4	Historie van Hughe van Bordeus	historie_van_hughe_van_bordeus	fiction	Prose	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_fef2b846-f966-470b-9d3d-54708f847060	Historie van Jan van Beverley	historie_van_jan_van_beverley_1500	fiction	Prose+verse	secular	chapbook	 	 	 	unknown	 
INT_28259626-5418-4066-be07-0584c1080436	Historie van Malegijs	historie_van_malegijs	fiction	Prose	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_6b6bc900-2aa9-45ee-b598-56ba501af8d2	Die schoone hystorie van Margrieten des hertoghen dochter van Lymborch ende van haer broeder Heyndrick	historie_van_margarieta_van_lymborch	fiction	Prose	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_766c6356-8877-45d0-a82f-f9eb4b9d453a	Historie van den wonderlicken Merlijn	historie_van_merlijn	fiction	Prose	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_3a66d436-4299-44db-be23-7b9006d94366	Historie van Partinoples - Grave van Bleys	historie_van_partinoples_van_bleys	fiction	Prose	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_2fee8d61-b94e-4384-a704-5035c0e3cfd0	Historie van Troyen	historie_van_troyen	fiction	verse	secular	epic	 	 	 	Jacob van Maerlant	 
INT_c64f09b6-2a87-436e-9405-e1b6342331c3	Historie vanden ridder metter swane	historie_vanden_ridder_metter_swane	fiction	Prose+verse	secular	chapbook	Chivalric romance	 	 	unknown	 
INT_8663ea96-ff25-4957-899b-c7694fef6950	Historien van Troyen (Aeneisbewerking)	historien_van_troyen_aeneisbewerking	fiction	Prose	secular	chapbook	 	 	 	unknown	 
INT_8fd79010-6644-4644-a200-c6e1f188af3f	Horologium Aeternae Sapientiae	horologium_hs_p	non-fiction	Prose	religious	 	Theology / ethics	 	 	Hendrick Suso	 
INT_f475a18e-af7e-4288-beca-fc2793d2dcb5	Huge van Bordeeus, fragment Leiden	huge_van_bordeeus_fragm_l	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
