INT_ce69c331-1b00-487c-a4c0-72f0dd91e0d9	circa_instans.xml	Circa instans	genreLevel1: proza; subgenreLevel1: artesliteratuur; subgenreLevel1: geneeskunde
INT_0ed010b3-ef3b-45c8-a329-e6bf40f70f46	kopenhaagse_trotula.xml	Kopenhaagse trotula	genreLevel1: proza; subgenreLevel1: artesliteratuur; subgenreLevel1: geneeskunde
INT_20fddc93-1a95-46dd-a422-12a5b30b71a0	vanden_proprieteyten_der_dinghen.xml	Van den proprieteyten der dingen	genre: artesliteratuur; subgenre: encyclopedie
INT_30bb450a-3d52-4303-8699-263290afbecd	hattem_01._43_kwade_dagen_slash_esdras-prognose.xml	01. 43 Kwade dagen / Esdras-prognose	genreLevel1: proza; subgenreLevel1: artesliteratuur; subgenreLevel1: geneeskunde; genreLevel2: proza; subgenreLevel2: artesliteratuur
INT_64777abb-cc18-47f8-99d4-c68c66bd8c45	hattem_02._prozavertaling_secreta_secretorum_.xml	02. Prozavertaling 'Secreta Secretorum'	genreLevel1: proza; subgenreLevel1: artesliteratuur; genreLevel2: proza; subgenreLevel2: artesliteratuur
INT_287c0d39-80d6-4462-9d27-6f927bde8c2c	hattem_03._diverse_teksten_vnl._latijn.xml	03. Diverse teksten, vnl. Latijn	genreLevel1: proza; subgenreLevel1: artesliteratuur; genreLevel2: proza; subgenreLevel2: artesliteratuur
INT_adc326be-5b7a-4b70-b41e-5d9547496b6f	hattem_04._diverse_teksten_frans.xml	04. Diverse teksten, Frans	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_017b84b9-3fcd-431f-a67c-e284e60e60ab	hattem_05._wijnrecepten_slash_medisch_handboek.xml	05. Wijnrecepten / Medisch handboek	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_f255933d-7d26-4a4e-a0eb-04f9c2cc98bd	hattem_06._alchemistische_en_technische_recepten.xml	06. Alchemistische en technische recepten	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_2ae52ea9-f743-4f3a-8273-21ae218a0114	hattem_07._traktaat_over_edele_metalen.xml	07. Traktaat over edele metalen	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_0e0f2055-2b06-41c6-8377-171ec29540da	hattem_08._kunstboek.xml	08. Kunstboek	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_9f5efae4-8946-4d65-8925-042490bdca8f	hattem_09._flebotomie_laatste_bladzijde_latijn.xml	09. Flebotomie, laatste bladzijde Latijn	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_5d4ce969-8987-403f-b6f6-870e2c234028	hattem_10._pesttraktaat_slash_zalfrecepten_slash_chirurgie.xml	10. Pesttraktaat / Zalfrecepten / Chirurgie	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_2736af1b-9bde-45cd-a84e-dfd71fdf6093	hattem_11._chirurgische_recepten_slash_ogentraktaat.xml	11. Chirurgische recepten / Ogentraktaat	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_59273dbb-271e-4138-b28e-80da603d27c3	hattem_12._alfabetische_herbarius_.xml	12. Alfabetische 'Herbarius'	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_e043d2ea-602a-4d95-ac4b-76d3c0995329	hattem_13._traktaat_over_huidziekten.xml	13. Traktaat over huidziekten	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_92f971ba-95f7-4c57-bae3-61ec1619d73b	hattem_14._medisch_handboek_avicenna_cap._16.xml	14. Medisch handboek Avicenna Cap. 16	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_167bfd5b-69e2-4e25-9532-527e171d0f1e	hattem_15._medicinale_wateren_slash_brandewijn.xml	15. Medicinale wateren / Brandewijn	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_7125d1bf-3902-489d-a0c2-4dc95f618581	hattem_16._medisch_handboek.xml	16. Medisch handboek	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_41fdafa7-11a4-456b-817b-be6270d7b611	hattem_17._diverse_korte_teksten_doorlopend.xml	17. Diverse korte teksten, doorlopend	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_d9115b04-d9d5-420c-aaac-7dadd43ad95f	hattem_18._diverse_teksten_frans.xml	18. Diverse teksten, Frans	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_3f0dc16c-d7f5-47a6-886f-486d0864a45e	hattem_19._constantinus_africanus_viatice_.xml	19. Constantinus Africanus 'Viatice'	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_c014e1a5-7703-4e19-ab3f-f40e5183c6d3	hattem_20._diverse_korte_teksten_doorlopend.xml	20. Diverse korte teksten, doorlopend	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_a054936e-d116-4975-9204-bdf4d8f78b21	hattem_21._grote_collectie_medische_recepten.xml	21. Grote collectie medische recepten	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_4e0abbc9-1ad4-4461-a782-2bd27949cb70	hattem_22._naschrift_slash_brandewijnrecept.xml	22. Naschrift / Brandewijnrecept	genreLevel1: proza; genreLevel2: proza; subgenreLevel1: artesliteratuur; subgenreLevel2: artesliteratuur
INT_729b1b49-b3fc-4e81-8ace-c70d15b1a22a	blome_der_doechden.xml	Blome der doechden	genreLevel1: proza
INT_be8b4ee4-e295-423f-9bd8-eadc2e3e832a	boecksken_der_verclaringhe.xml	Boecksken der verclaringhe	genreLevel1: proza
INT_e2f16391-7739-4cce-a233-3236072f4fb9	boeck_van_surgien_hs_dh.xml	Boeck van surgien	genreLevel1: proza
INT_36cdbd33-6083-4872-a2d8-b597408bbe61	boec_van_den_houte_proza.xml	Boec van den houte (prozaversie)	genreLevel1: proza
INT_e6765d2a-e35c-49bb-a7b4-cbbaf78b0617	brieven.xml	Brieven	genreLevel1: proza
INT_247f363e-e314-483f-9146-c0c8b6d11982	cancellierboeck.xml	Cancellierboeck	genreLevel1: proza
INT_66899df0-15a4-40e3-9875-993c850b99a0	chiromantie.xml	Chiromantie (proza)	genreLevel1: proza
INT_e2737bb8-df24-4d13-bf11-f4159482963d	collectief_lunarium.xml	Collectief lunarium (proza)	genreLevel1: proza
INT_79c9f5f8-4de6-4e57-a160-5ff8f7bd303f	cyrurgie_hs_br.xml	Cyrurgie	genreLevel1: proza
INT_e511316f-7fb4-4ed8-94b1-d9409243ab7e	den_droefliken_strijt_van_roncevale.xml	Droefliken strijt van Roncevale	genreLevel1: proza; genreLevel1: poëzie
INT_44d81728-fe8f-45aa-a7f1-888e7adfd8e0	des_coninx_summe.xml	Des coninx summe	genreLevel1: proza
INT_fbd8e8a8-87f5-4fce-bde1-645a9ec5fc25	de_libris_teutonicalibus_hs_b.xml	Verclaringhe vanden duytschen boeken (excerpten), hs Brussel	genreLevel1: proza
INT_4f309913-887f-430a-9078-821c0d7bee1b	de_libris_teutonicalibus_hs_k.xml	Verclaringhe vanden duytschen boeken, hs Kassel	genreLevel1: proza
INT_df47f444-eace-46a1-be24-f8f6ef8a179c	de_libris_teutonicalibus_hs_l.xml	Verclaringhe vanden duytschen boeken (excerpten), hs Leiden	genreLevel1: proza
INT_615cc75c-450e-4626-8467-2caa43c70a47	die_gheestelike_brulocht.xml	Gheestelike brulocht	genreLevel1: proza
INT_080a0318-39d9-405c-ba9d-1196787d7b1a	euangelien_vanden_spinrocke.xml	Euangelien vanden spinrocke	genreLevel1: proza
INT_9d87657d-f89f-48c6-83ea-832682798a88	exempel_van_een_soudaensdochter.xml	Exempel van een soudaensdochter	genreLevel1: proza
INT_30456d8d-af82-4728-a4f3-0c95efd40f56	exordium_magnum.xml	Exordium magnum	genreLevel1: proza
