TITEL	GENRE	GENRE	GENRE	SUBGENRE	SUBGENRE	SUBGENRE	SUBGENRE	AUTEUR	OPMERKING
livre_des_mestiers	Non-fiction	prose	secular	artes	linguistics	 	 	unknown	 
luikse_leven_van_jezus	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
marialegenden_en_exempelen	fiction	Prose	religious	 	legend	 	 	unknown	 
medicina	Non-fiction	Prose	secular	artes	medicine	 	 	Jan Yperman	 
hattem_15._medicinale_wateren_slash_brandewijn	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
hattem_16._medisch_handboek	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
hattem_14._medisch_handboek_avicenna_cap._16	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
mellibeus	Non-fiction	Prose	secular	 	Philosophy / ethics	 	 	Dirc Potter	 
hattem_22._naschrift_slash_brandewijnrecept	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
nieuwe_testament_nndl	Non-fiction	Prose	religious	Biblical texts	 	 	 	Johannes Scutken	 
nieuwe_testament_zndl_1	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
nieuwe_testament_zndl_2	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
noordnederlandse_historiebijbel	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
pater_noster_in_duutsce	Non-fiction	Prose	religious	 	Theology / ethics	 	 	unknown	 
hattem_10._pesttraktaat_slash_zalfrecepten_slash_chirurgie	Non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
proza-reinaert	fiction	Prose	secular	chapbook	 	 	 	unknown	 
psalmen	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
pseudo-bonaventura-ludolfiaanse_leven_van_jesus_hs_l1	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
reis_van_jan_van_mandeville	Non-fiction	Prose	secular	artes	travelogue	 	 	unknown	 
rijcke_der_ghelieven	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
roman_van_lancelot	fiction	Prose	secular	epic	 	 	 	unknown	 
salomon_ende_marcolphus	fiction	Prose	secular	chapbook	Philosophy / ethics	 	 	unknown	 
hattem_02._prozavertaling_secreta_secretorum_	Non-fiction	Prose	secular	 	Philosophy / ethics	 	 	unknown	Titel aanpassen
sidrac	Non-fiction	Prose	secular	 	Philosophy / ethics	 	 	unknown	 
sint_patricius_vagevuur_hs_h	fiction	Prose	religious	 	legend	 	 	unknown	 
sint_patricius_vagevuur_hs_w	fiction	Prose	religious	 	legend	 	 	unknown	 
spiegel_der_sonden	Non-fiction	prose	secular	 	Philosophy / ethics	 	 	unknown	 
spieghel_der_eeuwigher_salicheit	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
spieghel_der_volcomenheit	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Hendrik Herp	 
stuttgartse_leven_van_jezus	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
tafel_van_den_kersten_ghelove_winterstuk	Non-fiction	prose	religious	 	Theology / ethics	 	 	Dirc van Delft	 
tafel_van_den_kersten_ghelove_zomerstuk	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Dirc van Delft	 
tondalus_visioen_hs_g	fiction	Prose	religious	 	legend	 	 	unknown	 
tondalus_visioen_hs_h	fiction	Prose	religious	 	legend	 	 	unknown	 
tondalus_visioen_hs_n	fiction	Prose	religious	 	legend	 	 	unknown	 
hattem_07._traktaat_over_edele_metalen	Non-fiction	prose	secular	artes	metallurgy	 	 	unknown	Titel aanpassen
hattem_13._traktaat_over_huidziekten	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
kopenhaagse_trotula	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Auteur niet: Brigitte Kusche!!
vanden_blinckenden_steen	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
vanden_kerstenen_ghelove	Non-fiction	prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
vanden_proprieteyten_der_dinghen	Non-fiction	prose	secular	artes	 	 	 	Bartholomeus Anglicus	 
vanden_seven_sloten	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
vanden_twaelf_beghinen	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
vanden_vier_becoringhen	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
van_de_vier_elementen_en_complexien	Non-fiction	prose	secular	artes	science	physionomy	 	unknown	 
van_seven_trappen	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
visioenen	Non-fiction	prose	religious	 	Theology / ethics	 	 	Hadewijch	 
hattem_05._wijnrecepten_slash_medisch_handboek	Non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
ab_recht_ende_averecht	Non-fiction	verse	secular	 	Philosophy / ethics	 	 	unknown	 
aiol	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
alexanders_geesten	fiction	Verse	secular	epic	 	 	 	Jacob van Maerlant	 
anatomie_van_de_mens	Non-fiction	Verse	secular	artes	science	physionomy	 	unknown	 
antwerps_liedboek	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
arturs_doet	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
aubri_de_borgengoen	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
baghynken_van_parys	fiction	Verse	religious	stanzaic	legend	chapbook	 	unknown	 
barlaam_en_josaphat_fragm_ge	fiction	Verse	religious	 	legend	 	 	unknown	 
barlaam_en_josaphat_fragm_go	fiction	Verse	religious	 	legend	 	 	unknown	 
beatrijs	fiction	Verse	religious	 	legend	 	 	unknown	 
bediedenisse_van_der_missen	Non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
beerte_metten_breden_voeten	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
beginsel_der_oorlogen_van_luyck	Non-fiction	Verse	secular	 	history	 	 	unknown	 
berijmd_commentaar_op_het_hooglied_fragm_w	Non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
berlijnse_liederenhandschrift	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
