code	correctieJesse	correctie Thomas	correctie Jesse	omschrijving
559	ADV(type=gen,subtype=resumptive,infl=other)			hervattend bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
560	ADV(type=gen,subtype=neg,infl=0)			ontkennend bijwoord, geen uitgang
561	ADV(type=gen,subtype=neg,infl=e)			ontkennend bijwoord, uitgang -e
564	ADV(type=gen,subtype=neg,infl=n)			ontkennend bijwoord, uitgang -n
569	ADV(type=gen,subtype=neg,infl=other)			ontkennend bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
590	ADV(type=gen,subtype=other,infl=0)			bijwoord probleemgeval, geen uitgang
600	ADV(type=pron,infl=0)			voornaamwoordelijk bijwoord, geen uitgang
601	ADV(type=pron,infl=e)			voornaamwoordelijk bijwoord, uitgang -e
602	ADV(type=pron,infl=s|th)			voornaamwoordelijk bijwoord, uitgang -s|-th
603	ADV(type=pron,infl=t)			voornaamwoordelijk bijwoord, uitgang -t
604	ADV(type=pron,infl=n)			voornaamwoordelijk bijwoord, uitgang -n
605	ADV(type=pron,infl=r|re)			voornaamwoordelijk bijwoord, uitgang -r|-re
609	ADV(type=pron,infl=other)			voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
610	ADV(type=pron,subtype=dem,infl=0)			aanwijzend voornaamwoordelijk bijwoord, geen uitgang
611	ADV(type=pron,subtype=dem,infl=e)			aanwijzend voornaamwoordelijk bijwoord, uitgang -e
612	ADV(type=pron,subtype=dem,infl=s|th)			aanwijzend voornaamwoordelijk bijwoord, uitgang -s|-th
613	ADV(type=pron,subtype=dem,infl=t)			aanwijzend voornaamwoordelijk bijwoord, uitgang -t
614	ADV(type=pron,subtype=dem,infl=n)			aanwijzend voornaamwoordelijk bijwoord, uitgang -n
615	ADV(type=pron,subtype=dem,infl=r|re)			aanwijzend voornaamwoordelijk bijwoord, uitgang -r|-re
619	ADV(type=pron,subtype=dem,infl=other)			aanwijzend voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
620	ADV(type=pron,subtype=rel,infl=0)			betrekkelijk voornaamwoordelijk bijwoord, geen uitgang
621	ADV(type=pron,subtype=rel,infl=e)			betrekkelijk voornaamwoordelijk bijwoord, uitgang -e
623	ADV(type=pron,subtype=rel,infl=t)			betrekkelijk voornaamwoordelijk bijwoord, uitgang -t
624	ADV(type=pron,subtype=rel,infl=n)			betrekkelijk voornaamwoordelijk bijwoord, uitgang -n
629	ADV(type=pron,subtype=rel,infl=other)			betrekkelijk voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven
630	ADV(type=pron,subtype=int,infl=0)			vragend voornaamwoordelijk bijwoord, geen uitgang
631	ADV(type=pron,subtype=int,infl=e)			vragend voornaamwoordelijk bijwoord, uitgang -e
640	ADV(type=pron,subtype=indef,infl=0)			onbepaald voornaamwoordelijk bijwoord, geen uitgang
641	ADV(type=pron,subtype=indef,infl=e)			onbepaald voornaamwoordelijk bijwoord, uitgang -e
650	ADV(type=pron,subtype=resumptive,infl=0)			bijwoordelijk deel van voornaamwoordelijk bijwoord, geen uitgang
651	ADV(type=pron,subtype=resumptive,infl=e)			bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -e
654	ADV(type=pron,subtype=resumptive,infl=n)			bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -n
690	ADV(type=pron,subtype=other,infl=0)			voornaamwoordelijk bijwoord probleemgeval, geen uitgang
691	ADV(type=pron,subtype=other,infl=e)			voornaamwoordelijk bijwoord probleemgeval, uitgang -e
700	ADP(infl=0)			voorzetsel, geen uitgang
701	ADP(infl=e)			voorzetsel, uitgang -e
702	ADP(infl=s|th)			voorzetsel, uitgang -s|-th
703	ADP(infl=t)			voorzetsel, uitgang -t
704	ADP(infl=n)			voorzetsel, uitgang -n
705	ADP(infl=r|re)			voorzetsel, uitgang -r|-re
706	ADP(infl=a)			voorzetsel, uitgang -a
709	ADP(infl=other)			voorzetsel, uitgang latijn, onduidelijk of evident fout geschreven
790	ADP(type=other,infl=0)			voorzetsel (Latijn)
799	ADP(type=other,infl=other)			voorzetsel (Latijn)
800	CONJ(type=coor,infl=0)			nevenschikkend voegwoord, geen uitgang
801	CONJ(type=coor,infl=e)			nevenschikkend voegwoord, uitgang -e
803	CONJ(type=coor,infl=t)			nevenschikkend voegwoord, uitgang -t
804	CONJ(type=coor,infl=n)			nevenschikkend voegwoord, uitgang -n
809	CONJ(type=coor,infl=other)			nevenschikkend voegwoord, uitgang latijn, onduidelijk of evident fout geschreven
810	CONJ(type=sub,infl=0)			onderschikkend voegwoord, geen uitgang
811	CONJ(type=sub,infl=e)			onderschikkend voegwoord, uitgang -e
812	CONJ(type=sub,infl=s|th)			onderschikkend voegwoord, uitgang -s|-th
814	CONJ(type=sub,infl=n)			onderschikkend voegwoord, uitgang -n
819	CONJ(type=sub,infl=other)			onderschikkend voegwoord, uitgang latijn, onduidelijk of evident fout geschreven
820	CONJ(type=other,subtype=comparison,infl=0)			vergelijkend voegwoord, geen uitgang
821	CONJ(type=other,subtype=comparison,infl=e)			vergelijkend voegwoord, uitgang -e
824	CONJ(type=other,subtype=comparison,infl=n)			vergelijkend voegwoord, uitgang -n
829	CONJ(type=other,subtype=comparison,infl=other)			vergelijkend voegwoord, uitgang latijn, onduidelijk of evident fout geschreven
830	CONJ(type=other,subtype=neg,infl=0)			ontkennend voegwoord, geen uitgang
831	CONJ(type=other,subtype=neg,infl=e)			ontkennend voegwoord, uitgang -e
840	CONJ(type=other,subtype=explicative,infl=0)			explicatief voegwoord, geen uitgang
841	CONJ(type=other,subtype=explicative,infl=e)			explicatief voegwoord, uitgang -e
845	CONJ(type=other,subtype=explicative,infl=r|re)			explicatief voegwoord, uitgang -r|-re
850	CONJ(type=other,subtype=rel,infl=0)			relatief voegwoord, geen uitgang
851	CONJ(type=other,subtype=rel,infl=e)			relatief voegwoord, uitgang -e
859	CONJ(type=other,subtype=rel,infl=other)			relatief voegwoord, uitgang latijn, onduidelijk of evident fout geschreven
860	CONJ(type=other,subtype=quality,infl=0)			voegwoord van hoedanigheid, geen uitgang
861	CONJ(type=other,subtype=quality,infl=e)			voegwoord van hoedanigheid, uitgang -e
870	CONJ(type=sub,infl=0)			alse + te + infinitief, geen uitgang
871	CONJ(type=sub,infl=e)			alse + te + infinitief, uitgang -e
890	CONJ(type=other,subtype=other,infl=0)			voegwoord probleemgeval, geen uitgang
891	CONJ(type=other,subtype=other,infl=e)			voegwoord probleemgeval, uitgang -e
899	CONJ(type=other,subtype=other,infl=other)			voegwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
900	RES(type=other,infl=0)			woordsoort probleemgeval, geen uitgang
901	RES(type=other,infl=e)			woordsoort probleemgeval, uitgang -e
909	RES(type=other,infl=other)			woordsoort probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
910	INT(infl=0)			tussenwerpsel, geen uitgang
911	INT(infl=e)			tussenwerpsel, uitgang -e
914	INT(infl=n)			tussenwerpsel, uitgang -n
919	INT(infl=other)			tussenwerpsel, uitgang latijn, onduidelijk of evident fout geschreven
990	RES(type=other,infl=0)			woordsoort probleemgeval, geen uitgang
991	RES(type=other,infl=e)			woordsoort probleemgeval, uitgang -e
992	RES(type=other,infl=s|th)			woordsoort probleemgeval, uitgang -s|-th
994	RES(type=other,infl=n)			woordsoort probleemgeval, uitgang -n
999	RES(type=other,infl=other)			woordsoort probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
