110	ADJ(number=pl,inflection=0)	pos=ADJ,feat.getal=mv	bijvoeglijk naamwoord meervoud, geen uitgang
111	ADJ(number=pl,inflection=e)	pos=ADJ,feat.getal=mv,feat.form=-e	bijvoeglijk naamwoord meervoud, uitgang -e
112	ADJ(number=pl,inflection=s/th)	pos=ADJ,feat.getal=mv,feat.form=-s/-th	bijvoeglijk naamwoord meervoud, uitgang -s/-th
113	ADJ(number=pl,inflection=t)	pos=ADJ,feat.getal=mv,feat.form=-t	bijvoeglijk naamwoord meervoud, uitgang -t
114	ADJ(number=pl,inflection=n)	pos=ADJ,feat.getal=mv,feat.form=-n	bijvoeglijk naamwoord meervoud, uitgang -n
115	ADJ(number=pl,inflection=r/re)	pos=ADJ,feat.getal=mv,feat.form=-r/-re	bijvoeglijk naamwoord meervoud, uitgang -r/-re
116	ADJ(number=pl,inflection=a)	pos=ADJ,feat.getal=mv,feat.form=-a	bijvoeglijk naamwoord meervoud, uitgang -a
119	ADJ(number=pl,inflection=other)	pos=ADJ,feat.getal=mv	bijvoeglijk naamwoord meervoud, uitgang latijn, onduidelijk of evident fout geschreven
190	ADJ(number=other,inflection=0)	pos=ADJ,feat.probleemgeval=true	bijvoeglijk naamwoord probleemgeval, geen uitgang
191	ADJ(number=other,inflection=e)	pos=ADJ,feat.probleemgeval=true,feat.form=-e	bijvoeglijk naamwoord probleemgeval, uitgang -e
192	ADJ(number=other,inflection=s/th)	pos=ADJ,feat.probleemgeval=true,feat.form=-s/-th	bijvoeglijk naamwoord probleemgeval, uitgang -s/-th
193	ADJ(number=other,inflection=t)	pos=ADJ,feat.probleemgeval=true,feat.form=-t	bijvoeglijk naamwoord probleemgeval, uitgang -t
194	ADJ(number=other,inflection=n)	pos=ADJ,feat.probleemgeval=true,feat.form=-n	bijvoeglijk naamwoord probleemgeval, uitgang -n
195	ADJ(number=other,inflection=r/re)	pos=ADJ,feat.probleemgeval=true,feat.form=-r/-re	bijvoeglijk naamwoord probleemgeval, uitgang -r/-re
196	ADJ(number=other,inflection=a)	pos=ADJ,feat.probleemgeval=true,feat.form=-a	bijvoeglijk naamwoord probleemgeval, uitgang -a
199	ADJ(number=other,inflection=other)	pos=ADJ,feat.probleemgeval=true	bijvoeglijk naamwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
200	VRB(type=main,finiteness=finite,tense=present,inflection=0)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (zelfst.ww.), geen uitgang
201	VRB(type=main,finiteness=finite,tense=present,inflection=e)	pos=WW,feat.pvtijd=tgw,feat.form=-e	persoonsvorm o.t.t. (zelfst.ww.), uitgang -e
202	VRB(type=main,finiteness=finite,tense=present,inflection=s/th)	pos=WW,feat.pvtijd=tgw,feat.form=-s/-th	persoonsvorm o.t.t. (zelfst.ww.), uitgang -s/-th
203	VRB(type=main,finiteness=finite,tense=present,inflection=t)	pos=WW,feat.pvtijd=tgw,feat.form=-t	persoonsvorm o.t.t. (zelfst.ww.), uitgang -t
204	VRB(type=main,finiteness=finite,tense=present,inflection=n)	pos=WW,feat.pvtijd=tgw,feat.form=-n	persoonsvorm o.t.t. (zelfst.ww.), uitgang -n
205	VRB(type=main,finiteness=finite,tense=present,inflection=r/re)	pos=WW,feat.pvtijd=tgw,feat.form=-r/-re	persoonsvorm o.t.t. (zelfst.ww.), uitgang -r/-re
206	VRB(type=main,finiteness=finite,tense=present,inflection=a)	pos=WW,feat.pvtijd=tgw,feat.form=-a	persoonsvorm o.t.t. (zelfst.ww.), uitgang -a
209	VRB(type=main,finiteness=finite,tense=present,inflection=other)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
210	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=0)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (koppel-/hulpww.), geen uitgang
211	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=e)	pos=WW,feat.pvtijd=tgw,feat.form=-e	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -e
212	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=s/th)	pos=WW,feat.pvtijd=tgw,feat.form=-s/-th	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -s/-th
213	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=t)	pos=WW,feat.pvtijd=tgw,feat.form=-t	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -t
214	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=n)	pos=WW,feat.pvtijd=tgw,feat.form=-n	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -n
215	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=r/re)	pos=WW,feat.pvtijd=tgw,feat.form=-r/-re	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -r/-re
216	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=a)	pos=WW,feat.pvtijd=tgw,feat.form=-a	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -a
