DBNLDQ	dbnl-excerpts-15, dbnl-excerpts-16, dbnl-excerpts-17, dbnl-excerpts-18, dbnl-excerpts-19, dictionary-quotations-14, dictionary-quotations-15, dictionary-quotations-16, dictionary-quotations-17, dictionary-quotations-18, dictionary-quotations-19	1400	1900
COUR	couranten	1600	1700
BAB	letters-as-loot	1600	1800
CLVN	clvn	1500	1600
14-16	dbnl-excerpts-15, dbnl-excerpts-16, dictionary-quotations-14, dictionary-quotations-15, dictionary-quotations-16, clvn	1400	1600
17-19	dbnl-excerpts-17, dbnl-excerpts-18, dbnl-excerpts-19, dictionary-quotations-17, dictionary-quotations-18, dictionary-quotations-19, letters-as-loot, couranten	1700	1900
ALL	dbnl-excerpts-15, dbnl-excerpts-16, dbnl-excerpts-17, dbnl-excerpts-18, dbnl-excerpts-19, dictionary-quotations-14, dictionary-quotations-15, dictionary-quotations-16, dictionary-quotations-17, dictionary-quotations-18, dictionary-quotations-19, clvn, couranten, letters-as-loot	1400	1900
